state,city,dollars,factor
Alabama,Anniston-Calhoun County,42097,0.84194
Alabama,Auburn-Opelika,46758,0.93516
Alabama,Birmingham,46657,0.93314
Alabama,Decatur-Hartselle,43161,0.86322
Alabama,Dothan,46150,0.923
Alabama,Florence,42705,0.8541
Alabama,Huntsville,46099,0.92198
Alabama,Mobile,42958,0.85916
Alabama,Montgomery,44377,0.88754
Alabama,Unlisted,44551.33333,0.891026667
Alaska,Anchorage,64539,1.29078
Alaska,Fairbanks,62918,1.25836
Alaska,Juneau,65856,1.31712
Alaska,Kodiak,65350,1.307
Alaska,Unlisted,64665.75,1.293315
Arizona,Bullhead City,46606,0.93212
Arizona,Flagstaff,58713,1.17426
Arizona,Lake Havasu City,68237,1.36474
Arizona,Phoenix,53242,1.06484
Arizona,Prescott-Prescott Valley,58815,1.1763
Arizona,Surprise,49392,0.98784
Arizona,Tucson,52128,1.04256
Arizona,Unlisted,54521.25,1.090425
Arizona,Yuma,49037,0.98074
Arkansas,Conway,42199,0.84398
Arkansas,Fayetteville,45491,0.90982
Arkansas,Hot Springs,47366,0.94732
Arkansas,Jonesboro,44833,0.89666
Arkansas,Little Rock-North Little Rock,48328,0.96656
Arkansas,Unlisted,45643.4,0.912868
California,Bakersfield,55420,1.1084
California,Los Angeles- Long Beach,77812,1.55624
California,Modesto,60436,1.20872
California,Oakland,76393,1.52786
California,Orange County,78673,1.57346
California,Sacramento,60740,1.2148
California,San Diego,74215,1.4843
California,San Francisco,95542,1.91084
California,Stockton,62209,1.24418
California,Unlisted,71271.11111,1.425422222
Colorado,Colorado Springs,53242,1.06484
Colorado,Denver,56636,1.13272
Colorado,Grand Junction,50203,1.00406
Colorado,Pueblo,48784,0.97568
Colorado,Unlisted,52614,1.05228
Colorado,Westminster,54205,1.0841
Connecticut,Hartford,54559,1.09118
Connecticut,New Haven,58612,1.17224
Connecticut,Stamford,67629,1.35258
Connecticut,Unlisted,60266.66667,1.205333333
Delaware,Dover,52077,1.04154
Delaware,Sussex County,53546,1.07092
Delaware,Unlisted,53833,1.07666
Delaware,Wilmington,55876,1.11752
District of Columbia,Unlisted,80294,1.60588
District of Columbia,Washington-Arlington-Alexandria,80294,1.60588
Florida,Cape Coral-Fort Myers,54509,1.09018
Florida,Daytona Beach,48683,0.97366
Florida,Fort Lauderdale,62513,1.25026
Florida,Gainesville,51672,1.03344
Florida,Jacksonville,47467,0.94934
Florida,Miami-Dade County,61196,1.22392
Florida,Ocala,47112,0.94224
Florida,Orlando,52280,1.0456
Florida,Palm Coast-Flagler County,46201,0.92402
Florida,Pensacola,48328,0.96656
Florida,Sarasota,53647,1.07294
Florida,Tallahassee,48480,0.9696
Florida,Tampa,50355,1.0071
Florida,Unlisted,51574.14286,1.031482857
Florida,Vero Beach-Indian River,49595,0.9919
Georgia,Albany,42503,0.85006
Georgia,Atlanta,51621,1.03242
Georgia,Augusta-Aiken,42503,0.85006
Georgia,Dalton,44428,0.88856
Georgia,Douglasville-Douglas County,45694,0.91388
Georgia,Dublin-Laurens County,43161,0.86322
Georgia,Savannah,44985,0.8997
Georgia,Statesboro-Bulloch County,42047,0.84094
Georgia,Unlisted,44861.22222,0.897224444
Georgia,Valdosta,46809,0.93618
Hawaii,Honolulu,98784,1.97568
Hawaii,Unlisted,98784,1.97568
Idaho,Boise,53951,1.07902
Idaho,Twin Falls,45897,0.91794
Idaho,Unlisted,49924,0.99848
Illinois,Bloomington-Normal,46606,0.93212
Illinois,Champaign-Urbana,44124,0.88248
Illinois,Chicago,61803,1.23606
Illinois,Danville,42806,0.85612
Illinois,Decatur,41135,0.8227
Illinois,Joliet-Will County,48328,0.96656
Illinois,Kankakee,45897,0.91794
Illinois,Peoria,45491,0.90982
Illinois,Rockford,44478,0.88956
Illinois,Springfield,47416,0.94832
Illinois,Unlisted,46808.4,0.936168
Indiana,Bloomington  ,50861,1.01722
Indiana,Elkhart-Goshen,44529,0.89058
Indiana,Evansville,46758,0.93516
Indiana,Fort Wayne-Allen County,44630,0.8926
Indiana,Indianapolis,46505,0.9301
Indiana,Kokomo ,43718,0.87436
Indiana,Lafayette,45441,0.90882
Indiana,Muncie,46454,0.92908
Indiana,Richmond,41641,0.83282
Indiana,South Bend,44782,0.89564
Indiana,Terre Haute,46251,0.92502
Indiana,Unlisted,45597.27273,0.911945455
Iowa,Ames,48430,0.9686
Iowa,Burlington,43870,0.8774
Iowa,Cedar Rapids,45846,0.91692
Iowa,Davenport-Moline-Rock Is,45441,0.90882
Iowa,Des Moines,43566,0.87132
Iowa,Dubuque,45289,0.90578
Iowa,Iowa City,47822,0.95644
Iowa,Mason City,44883,0.89766
Iowa,Sioux City,44326,0.88652
Iowa,Unlisted,45319.1,0.906382
Iowa,Waterloo-Cedar Falls,43718,0.87436
Kansas,Dodge City,44428,0.88856
Kansas,Hutchinson,45035,0.9007
Kansas,Manhattan,46960,0.9392
Kansas,Pittsburg,42604,0.85208
Kansas,Salina,42249,0.84498
Kansas,Topeka,42401,0.84802
Kansas,Unlisted,44210.28571,0.884205714
Kansas,Wichita,45795,0.9159
Kentucky,Lexington,47264,0.94528
Kentucky,Louisville,47771,0.95542
Kentucky,Unlisted,47517.5,0.95035
Louisiana,Alexandria,45593,0.91186
Louisiana,Baton Rouge,49037,0.98074
Louisiana,Hammond,44529,0.89058
Louisiana,Houma-Terrebonne Parish,49088,0.98176
Louisiana,Lafayette,44732,0.89464
Louisiana,Lake Charles,43161,0.86322
Louisiana,Monroe,44124,0.88248
Louisiana,New Orleans,56991,1.13982
Louisiana,Shreveport-Bossier City,47011,0.94022
Louisiana,Slidell-St. Tammany Parish,48531,0.97062
Louisiana,Thibodaux-Lafourche Parish,47771,0.95542
Louisiana,Unlisted,47324.36364,0.946487273
Maine,Portland,58916,1.17832
Maine,Unlisted,58916,1.17832
Maryland,Baltimore,55117,1.10234
Maryland,Bethesda-Gaithersburg-Frederick,73354,1.46708
Maryland,Unlisted,64235.5,1.28471
Massachusetts,Boston,77761,1.55522
Massachusetts,Framingham-Natick,71986,1.43972
Massachusetts,Pittsfield,55826,1.11652
Massachusetts,Unlisted,68524.33333,1.370486667
Michigan,Benton Harbor,44225,0.8845
Michigan,Detroit,52938,1.05876
Michigan,Grand Rapids,47822,0.95644
Michigan,Kalamazoo ,38906,0.77812
